"","edgeuid","weekday","total_trips"
"242",153745668,"Thu",5
"243",153745668,"Fri",5
"244",153745668,"Sat",35
"245",153745669,"Sun",5
"246",153745669,"Tue",5
"247",153745669,"Wed",15
"248",153745669,"Thu",5
"249",153745669,"Fri",5
"250",153745669,"Sat",35
"251",153745670,"Sun",20
"252",153745670,"Mon",10
"253",153745670,"Tue",5
"254",153745670,"Thu",5
"255",153745670,"Fri",5
"256",153745670,"Sat",10
"257",153745671,"Mon",5
"258",153745671,"Tue",5
"259",153745671,"Wed",5
"260",153745671,"Sat",25
"261",153745673,"Wed",5
"262",153745677,"Sun",5
"263",153745679,"Sun",45
"264",153745679,"Mon",25
"265",153745679,"Tue",15
"266",153745679,"Wed",5
"267",153745679,"Thu",40
"268",153745679,"Fri",15
"269",153745679,"Sat",55
"270",153745683,"Sun",60
"271",153745683,"Mon",25
"272",153745683,"Tue",20
"273",153745683,"Wed",10
"274",153745683,"Thu",45
"275",153745683,"Fri",20
"276",153745683,"Sat",65
"277",153745684,"Sun",5
"278",153745684,"Fri",5
"279",153745684,"Sat",10
"280",153745686,"Sun",5
"281",153745686,"Fri",5
"282",153745686,"Sat",10
"283",153745688,"Sun",65
"284",153745688,"Mon",30
"285",153745688,"Tue",25
"286",153745688,"Wed",15
"287",153745688,"Thu",45
"288",153745688,"Fri",25
"289",153745688,"Sat",70
"290",153745692,"Wed",5
"291",153745836,"Thu",10
"292",153745840,"Sun",5
"293",153745840,"Fri",5
"294",153745840,"Sat",10
"295",153745841,"Sun",5
"296",153745841,"Mon",5
"297",153745841,"Fri",5
"298",153745841,"Sat",10
"299",153745842,"Mon",5
"300",153745844,"Sun",55
"301",153745844,"Mon",40
"302",153745844,"Tue",20
